,Request,Start,End,Wait,Processing,BatchSize,Node,Generated
0,1,0.48696528191343985,2.4581482995521173,0.0,1.9711830176386775,1.0,1.0,0.48696528191343985
1,2,0.8294185042587356,3.6147198003867933,0.0,2.7853012961280577,2.0,2.0,0.8294185042587356
2,3,2.4581482995521173,11.107115149691278,1.3952376242460738,8.64896685013916,2.0,1.0,1.0629106753060436
3,4,3.6147198003867933,7.062289654745624,2.121587709598904,3.4475698543588305,2.0,2.0,1.4931320907878893
4,5,7.062289654745624,14.979025123276118,3.7255743719369234,7.9167354685304945,2.0,2.0,3.3367152828087003
5,6,11.107115149691278,18.26839439767868,7.697547756016122,7.161279247987401,2.0,1.0,3.4095673936751565
6,7,14.979025123276118,19.708683825157692,11.090934162410392,4.729658701881572,2.0,2.0,3.8880909608657275
7,8,18.26839439767868,21.29884577734819,14.23070598135919,3.030451379669511,2.0,1.0,4.037688416319489
8,9,19.708683825157692,21.943060170413183,14.986546720743794,2.2343763452554892,2.0,2.0,4.722137104413898
9,10,21.29884577734819,29.32395245636345,16.284699864846935,8.02510667901526,2.0,1.0,5.014145912501257
10,11,21.943060170413183,26.386967555846986,16.79768429158584,4.443907385433804,2.0,2.0,5.1453758788273465
11,12,,,,,,,6.416323465886732
12,13,,,,,,,7.138019921033774
13,14,,,,,,,7.407411160481583
14,15,,,,,,,7.528627142796904
15,16,,,,,,,7.979659123375615
16,17,,,,,,,8.132230684291295
17,18,,,,,,,8.415790080916237
18,19,,,,,,,8.61781846030333
19,20,,,,,,,9.479205744977296
20,21,,,,,,,9.5664505043116
21,22,,,,,,,10.2425336036459
22,23,,,,,,,10.553623095082592
23,24,,,,,,,11.728169929455818
24,25,,,,,,,11.963645171195573
25,26,,,,,,,12.514723479724454
26,27,,,,,,,12.518023619339148
27,28,,,,,,,12.673508017889711
28,29,,,,,,,12.909991759061008
29,30,,,,,,,13.331731797871438
30,31,,,,,,,13.53114423420581
31,32,,,,,,,14.033832159784247
32,33,,,,,,,15.274147584235918
33,34,,,,,,,15.696518524577238
34,35,,,,,,,18.334153449470435
35,36,,,,,,,18.546122061963384
36,37,,,,,,,18.61845949597447
37,38,,,,,,,18.621416975181656
38,39,,,,,,,18.946773775699533
39,40,,,,,,,20.248381328339615
40,41,,,,,,,20.95810534232316
41,42,,,,,,,21.60346689218038
42,43,,,,,,,21.64982439378244
43,44,,,,,,,22.009602398935993
44,45,,,,,,,22.18770913507092
45,46,,,,,,,22.918130792355875
46,47,,,,,,,24.73393321341167
47,48,,,,,,,24.823314954376922
48,49,,,,,,,25.029699397641252
49,50,,,,,,,26.9630987320137
50,51,,,,,,,27.008061944658213
51,52,,,,,,,27.45330819692425
52,53,,,,,,,28.28762682143108
53,54,,,,,,,28.52387509583918
54,55,,,,,,,28.558704880111463
55,56,,,,,,,28.96893990302953
56,57,,,,,,,29.148653822016794
57,58,,,,,,,29.65060113438356
58,59,,,,,,,29.67319177470505
59,60,,,,,,,29.71600092300742
